Summary - Backup Success Rate,,,,,,,,,,,,,,,,,
Motor City/Inokom : ,,100.00%,,,,,,,,,,,,,,,
Azure : ,,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Average Success Backup Rate : ,,100.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
No,IP Address,Environment,Application,VM Name,BIA,Dedicated/Sharing,Date of Failed Backup,Technical Reason,No of Failed Backup,,,,,,,,
1,172.17.10.35,Motor City,Finance File Server,GRPFIN FILE SERVER,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
2,172.17.10.88,Motor City,Q-Radar Group Risk Database,ERMDB,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
3,172.17.10.89,Motor City,Q-Radar Group Risk Web,ERMWeb,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
4,172.17.100.115,Motor City,SMTP Gateway,MYHQKUL991401S,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
5,172.17.100.176,Motor City,Rapid4 GSC Prod Web,GSCRAPID4WEB,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
6,172.17.100.37,Motor City,eProcurement,eprocument-new,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
7,172.17.100.57,Motor City,Enterprise Portal - QAS,EnterprisePortalQAS,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
8,172.17.100.78,Motor City,Enterprise Portal - WEB,PorSSCEPWEB,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
9,172.17.100.87,Motor City,GHO Web Server,GHO WebServer,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
10,172.17.11.111,Motor City,SAP Router Box,SAPRouterBox2,Mission Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
11,172.17.11.152,Motor City,Rapid4 GSC Prod App,GSCRAPID4APP,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
12,172.17.11.153,Motor City,Rapid4 GSC Prod DB,GSCRAPID4DB,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
13,172.17.11.154,Motor City,Rapid4 GSC Dev DB,GSCRAPID4DEV,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
14,172.17.11.187,Motor City,Certificate Authentication Server,GSCCAServer,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
15,172.17.11.201,Motor City,New SCCM Primary Site Server,GSCDSSSCCMPSS,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
16,172.17.11.202,Motor City,New SCCM Database Server,GSCDSSSCCMDBS,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
17,172.17.11.234,Motor City,View point - NEW Group IT Prod,ViewpointProd,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
18,172.17.152.10,Motor City,Delinea (Thycotic) PAM Solution,Delinea (Thycotic) PAM Solution,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
19,172.17.152.20,Motor City,Delinea PAM,MYHQKUL990036S,Business Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
20,172.17.152.54,Motor City,Tenable Scanner,Tenable Scanner,Functional Important,GHO,NA,All backups were successful for reporting month,,,,,,,,,
21,172.17.152.78,Motor City,SAP Content Server - DEV,MYMTKUL990581S,Non-Critical,GHO,NA,All backups were successful for reporting month,,,,,,,,,
