VM Name,Backup Status
Warehouse SAP HANA,Success
BMWDELLESX03,Success
AD_MYHQKUL990006S,Success
MYMTKUL990026S,Success
Motor AP Monitoring New,Success
GDMS WebServer2,Success
TweedMtr2,Success
KPRINT ABKL,Success
NA,Success
ABKLVeeam,Success
KPrint ABBalakong,Success
CarPro-V2 QAS,Success
CarPro-V2 API PROD,Success
CarPro-V2 Web PROD,Success
Taiwan FTP,Success
Kube PRD Web Server,Success
Kube UAT Web Server,Success
SAPGHODPQWD-WebDispatcher QAS,Success
SAPGHODPPWD-DealerPortal WebDisp Prod,Success
Mobile App Prod,Success
Mobile App Dev,Success
ABCustCare,Success
DMS,Success
JCB PRD Web,Success
OneGo-Staging,Success
ABCustCareNew,Success
DMS-SG,Success
SDM-Syslog-Logger1,Success
SDRAC - API VM,Success
SDRAC - WEB,Success
vm-byd-prd-sa-01,Success
GDMSPRD_MY,Success
GDMSPRD_MY_Clone,Success
GDMS EDMS Print Server,Success
GDMSPRD_HKM,Success
MTRGDMSPRD,Success
GDMS Sonic PRD,Success
NA,Success
Qlikview Console,Success
SDAPPRODSQL,Success
SDRAC - DB,Success
SDRAC - Source Control,Success
Automation - Ansible,Success
Automation - Gitlab,Success
Zabbix - DB VM,Success
Zabbix - Frontend,Success
SAPMTRMTP-Motor ECC Prod,Success
Amundsen-POC,Success
SIEM-Wazuh,Success
MYHIK0001,Success
SAPMTRMTQ-Motor ECC QAS,Success
SAPMTRMTD-Motor ECC DEV,Success
Kube PRD SQL Server,Success
Kube UAT SQL Server,Success
FLOWISE (POC),Success
GDMSPRD_SG,Success
MYMTKUL990014S PMI ISPA INDONESIA,Success
Zabbix-POC,Success
Motor-AI,Success
NA,Success
Qlikview Dev Svr 2,Success
Qlikview Dev Svr 4,Success
Tenable_WAS Scanner,Success
SDM-AD-POC,Success
Care PRD DB,Success
Autoline Malaysia,Success
SMART SQL SSIS,Success
Autoline Thailand,Success
Qlikview Nprinting,Success
AD POC Server,Success
AD POC 1,Success
AD POC 2,Success
AD POC 3,Success
Carpro-V2 BackOffice PROD,Success
MYMTWMS0001,Success
JCB PRD DB,Success
JCB STG Web,Success
Lemon 2,Success
MotorAra AP Monitoring,Success
JCB PRD App,Success
SDAP DB,Success
MYMTABIND008S,Success
NEWQLIKSENSE,Success
MYMTKUL990577S,Success
MYMTKUL990578S,Success
NA,Success
MYMTKUL990580S,Success
CarPro-V2 DB,Success
CarPro-V2 App PROD,Success
MotorVAScanner,Success
BMC-Outpost,Success
MYMTKUL990579S,Success
SAPGHODPDDB-DealerPortal DEV DB,Success
SAPGHODPQDB-DealerPortal QAS DB,Success
SAPGHODPPDB-DealerPortal Prod DB,Success
MYMTKUL990587S,Success
ABSB Veeam,Success
NA,Success
KPRINT ABPENANG,Success
NA,Success
ABPenang Veeam,Success
DLVCINO05,Success
NA,Success
NA,Success
vCentre_new,Success
NA,Success
NA,Success
Ino_Webserver,Success
Inokom.com.my,Success
LeanERP_PrintServer,Success
Entrypass_Inokom,Success
INOKOM_INO_MAINTENANCE_PMEPROD,Success
SDAE Traceability,Success
INO_Win2016FileServer,Success
Mazda_vCat2019,Success
INO_Chery_VTQS,Success
AD_Inokom,Success
SDAE_PowerTrain,Success
INOKOM_UBNT,Success
INO_MAZDA_VTQS,Success
Parking_Yard,Success
SDAE_dStar_Production,Success
HIK_Console,Success
INO_COMMON_VTQS,Success
